aalib 1.4rc5-14
perl-xml-parser 2.46-2
pfetch-git r346.28937a4-1
phonon-qt5 4.11.1-2
phonon-qt5-gstreamer 4.10.0-2
picom-ibhagwan-git 1577_Next.296.g6d87428_2021.02.05-1
pince-git r1084.947ee38-1
pinentry 1.1.0-5
pipewire 1:0.3.24-1
pixman 0.40.0-1
pkgconf 1.7.3-1
plasma-framework 5.80.0-1
plasma-integration 5.21.3-1
plasma-workspace 5.21.3-1
polkit 0.118-1
polkit-qt5 0.113.0-2
polybar-dwm-module 3.5.2.r94.g6b54ea27-1
poppler 21.03.0-1
poppler-data 0.4.10-1
poppler-glib 21.03.0-1
poppler-qt5 21.03.0-1
popt 1.18-1
portaudio 1:19.6.0-7
portsmf 234-2
postgresql-libs 13.2-1
postman-bin 8.0.7-1
potrace 1.16-2
prison 5.80.0-1
procps-ng 3.3.17-1
protobuf 3.15.6-1
protobuf-c 1.3.3-3
psmisc 23.4-1
ptex 2.3.2-2
pugixml 1.11.4-1
pulseaudio 14.2-2
pulseaudio-alsa 1:1.2.2-2
pulseaudio-ctl 1.69-1
pureref 1.11.1-1
purpose 5.80.0-1
putty 0.74-1
pybind11 2.6.2-1
pyside2 5.15.2-3
pyside2-tools 5.15.2-1
python 3.9.2-1
python-acme 1.13.0-1
python-anytree 2.8.0-3
python-apipkg 1.5-5
python-appdirs 1.4.4-3
python-asn1crypto 1.4.0-3
python-atomicwrites 1.4.0-3
python-attrs 20.3.0-3
python-bcrypt 3.2.0-3
python-beaker 1.11.0-6
python-cachecontrol 0.12.6-3
python-cached-property 1.5.2-3
python-cffi 1.14.5-1
python-chardet 3.0.4-7
python-click 7.1.2-3
python-colorama 0.4.4-3
python-configargparse 1.2.3-3
python-configobj 5.0.6.r110.g3e2f4cc-1
python-contextlib2 0.6.0.post1-3
python-cryptography 3.4.6-1
python-cycler 0.10.0-8
python-dateutil 2.8.1-5
python-distlib 0.3.1-2
python-distorm 3.5-2
python-distro 1.5.0-3
python-dnspython 1:1.16.0-3
python-docker 4.4.4-1
python-docker-pycreds 0.4.0-7
python-dockerpty 0.4.1-8
python-docopt 0.6.2-9
python-dotenv 0.15.0-3
python-future 0.18.2-5
python-gobject 3.40.0-1
python-gpgme 1.15.1-1
python-html5lib 1.1-6
python-idna 2.10-3
python-importlib-metadata 3.7.2-1
python-iniconfig 1.1.1-1
python-josepy 1.8.0-1
python-jsonschema 3.2.0-4
python-kiwisolver 1.3.1-3
python-lxml 4.6.2-2
python-mako 1.1.4-1
python-markdown 3.3.4-1
python-markupsafe 1.1.1-7
python-matplotlib 3.3.4-1
python-mock 3.0.5-5
python-more-itertools 8.6.0-3
python-msgpack 1.0.2-2
python-numpy 1.20.1-1
python-ordered-set 4.0.2-3
python-packaging 20.9-1
python-paramiko 2.7.2-3
python-parsedatetime 2.6-3
python-pbr 5.5.1-3
python-pep517 0.10.0-1
python-pexpect 4.8.0-3
python-pillow 8.1.0-1
python-pip 20.3.1-1
python-pivy 0.6.5-3
python-pluggy 0.13.1-4
python-ply 3.11-7
python-progress 1.5-5
python-psutil 5.8.0-1
python-ptyprocess 0.7.0-1
python-py 1.10.0-1
python-pycparser 2.20-3
python-pygdbmi 0.10.0.0-2
python-pygments 2.8.1-1
python-pynacl 1.4.0-3
python-pyopenssl 20.0.1-1
python-pyparsing 2.4.7-3
python-pyqt5 5.15.4-1
python-pyqt5-sip 12.8.1-3
python-pyrfc3339 1.1-7
python-pyrsistent 0.17.3-3
python-pysocks 1.7.1-4
python-pytest 6.2.2-1
python-pytest-mock 3.1.1-1
python-pytest-runner 5.2-3
python-pytz 2021.1-1
python-requests 2.25.1-1
python-requests-toolbelt 0.9.1-5
python-resolvelib 0.5.4-1
